dt,AverageTemperature,AverageTemperatureUncertainty,State,Country,id
1768-09-01,8.772,4.748,Alberta,Canada,4
1768-10-01,0.8130000000000004,4.543,Alberta,Canada,4
1768-11-01,-8.318999999999999,5.119,Alberta,Canada,4
1768-12-01,-15.579,5.528,Alberta,Canada,4
1769-01-01,-19.287,5.593999999999999,Alberta,Canada,4
1769-02-01,-15.839,4.438,Alberta,Canada,4
1769-03-01,-8.668,4.6930000000000005,Alberta,Canada,4
1769-04-01,2.8840000000000003,4.718,Alberta,Canada,4
1769-05-01,11.534,5.8210000000000015,Alberta,Canada,4
1769-06-01,15.999,4.708,Alberta,Canada,4
1769-07-01,16.590999999999998,4.548,Alberta,Canada,4
1769-08-01,14.296,5.004,Alberta,Canada,4
1769-09-01,,,Alberta,Canada,4
1769-10-01,,,Alberta,Canada,4
1769-11-01,,,Alberta,Canada,4
1769-12-01,,,Alberta,Canada,4
1770-01-01,,,Alberta,Canada,4
1770-02-01,,,Alberta,Canada,4
1770-03-01,,,Alberta,Canada,4
1770-04-01,,,Alberta,Canada,4
1770-05-01,,,Alberta,Canada,4
1770-06-01,,,Alberta,Canada,4
1770-07-01,,,Alberta,Canada,4
1770-08-01,,,Alberta,Canada,4
1770-09-01,,,Alberta,Canada,4
1770-10-01,,,Alberta,Canada,4
1770-11-01,,,Alberta,Canada,4
1770-12-01,,,Alberta,Canada,4
1771-01-01,,,Alberta,Canada,4
1771-02-01,,,Alberta,Canada,4
1771-03-01,,,Alberta,Canada,4
1771-04-01,,,Alberta,Canada,4
1771-05-01,,,Alberta,Canada,4
1771-06-01,,,Alberta,Canada,4
1771-07-01,,,Alberta,Canada,4
1771-08-01,,,Alberta,Canada,4
1771-09-01,,,Alberta,Canada,4
1771-10-01,,,Alberta,Canada,4
1771-11-01,,,Alberta,Canada,4
1771-12-01,,,Alberta,Canada,4
1772-01-01,,,Alberta,Canada,4
1772-02-01,,,Alberta,Canada,4
1772-03-01,,,Alberta,Canada,4
1772-04-01,,,Alberta,Canada,4
1772-05-01,,,Alberta,Canada,4
1772-06-01,,,Alberta,Canada,4
1772-07-01,,,Alberta,Canada,4
1772-08-01,,,Alberta,Canada,4
1772-09-01,,,Alberta,Canada,4
1772-10-01,,,Alberta,Canada,4
1772-11-01,,,Alberta,Canada,4
1772-12-01,,,Alberta,Canada,4
1773-01-01,,,Alberta,Canada,4
1773-02-01,,,Alberta,Canada,4
1773-03-01,,,Alberta,Canada,4
1773-04-01,,,Alberta,Canada,4
1773-05-01,,,Alberta,Canada,4
1773-06-01,,,Alberta,Canada,4
1773-07-01,,,Alberta,Canada,4
1773-08-01,,,Alberta,Canada,4
1773-09-01,,,Alberta,Canada,4
1773-10-01,,,Alberta,Canada,4
1773-11-01,,,Alberta,Canada,4
1773-12-01,,,Alberta,Canada,4
1774-01-01,,,Alberta,Canada,4
1774-02-01,,,Alberta,Canada,4
1774-03-01,,,Alberta,Canada,4
1774-04-01,,,Alberta,Canada,4
1774-05-01,,,Alberta,Canada,4
1774-06-01,,,Alberta,Canada,4
1774-07-01,,,Alberta,Canada,4
1774-08-01,,,Alberta,Canada,4
1774-09-01,,,Alberta,Canada,4
1774-10-01,0.7380000000000002,5.15,Alberta,Canada,4
1774-11-01,-9.205,5.841,Alberta,Canada,4
1774-12-01,-18.263,4.726,Alberta,Canada,4
1775-01-01,-14.734000000000002,4.5360000000000005,Alberta,Canada,4
1775-02-01,-11.037,4.849,Alberta,Canada,4
1775-03-01,-4.718999999999999,4.43,Alberta,Canada,4
1775-04-01,0.5950000000000001,4.399,Alberta,Canada,4
1775-05-01,8.334,4.803999999999999,Alberta,Canada,4
1775-06-01,12.376,5.247999999999998,Alberta,Canada,4
1775-07-01,15.247,4.371,Alberta,Canada,4
1775-08-01,13.984000000000002,4.513999999999999,Alberta,Canada,4
1775-09-01,7.496,4.34,Alberta,Canada,4
1775-10-01,2.563,4.638999999999999,Alberta,Canada,4
1775-11-01,-2.673,6.064,Alberta,Canada,4
1775-12-01,-16.371,4.4430000000000005,Alberta,Canada,4
1776-01-01,-20.478,6.188,Alberta,Canada,4
1776-02-01,-13.245,5.097,Alberta,Canada,4
1776-03-01,-8.936,4.468999999999999,Alberta,Canada,4
1776-04-01,0.1720000000000001,4.387,Alberta,Canada,4
1776-05-01,6.7780000000000005,5.085,Alberta,Canada,4
1776-06-01,14.793,4.431,Alberta,Canada,4
1776-07-01,14.592,4.502,Alberta,Canada,4
1776-08-01,15.271,4.808,Alberta,Canada,4
1776-09-01,7.497999999999999,4.739,Alberta,Canada,4
1776-10-01,-0.1619999999999999,4.605,Alberta,Canada,4
1776-11-01,-7.112,5.273,Alberta,Canada,4
1776-12-01,-12.985,4.581,Alberta,Canada,4
1777-01-01,-11.753,5.408,Alberta,Canada,4
1777-02-01,-11.815,5.2570000000000014,Alberta,Canada,4
1777-03-01,-7.381,4.445,Alberta,Canada,4
1777-04-01,-1.356,4.511,Alberta,Canada,4
1777-05-01,8.669,4.881,Alberta,Canada,4
1777-06-01,11.706,4.433,Alberta,Canada,4
1777-07-01,13.32,4.452,Alberta,Canada,4
1777-08-01,12.357,4.404,Alberta,Canada,4
1777-09-01,8.677,4.759,Alberta,Canada,4
1777-10-01,-1.75,4.584,Alberta,Canada,4
1777-11-01,-8.267999999999999,4.373,Alberta,Canada,4
1777-12-01,-15.164,4.4910000000000005,Alberta,Canada,4
1778-01-01,-17.883,4.464,Alberta,Canada,4
1778-02-01,-11.936,4.987,Alberta,Canada,4
1778-03-01,-9.121,4.432,Alberta,Canada,4
1778-04-01,3.228,4.263999999999999,Alberta,Canada,4
1778-05-01,8.635,4.598,Alberta,Canada,4
1778-06-01,10.457,4.537,Alberta,Canada,4
1778-07-01,,,Alberta,Canada,4
1778-08-01,,,Alberta,Canada,4
1778-09-01,10.451,4.312,Alberta,Canada,4
1778-10-01,-0.4489999999999994,5.158,Alberta,Canada,4
1778-11-01,-8.777999999999999,4.489,Alberta,Canada,4
1778-12-01,-16.584,4.6,Alberta,Canada,4
1779-01-01,-19.66,4.732,Alberta,Canada,4
1779-02-01,-14.521,5.4460000000000015,Alberta,Canada,4
1779-03-01,-6.0520000000000005,5.005,Alberta,Canada,4
1779-04-01,2.524,4.475,Alberta,Canada,4
1779-05-01,11.197,4.369,Alberta,Canada,4
1779-06-01,11.903,4.519,Alberta,Canada,4
1779-07-01,14.039,4.375,Alberta,Canada,4
1779-08-01,13.423,4.604,Alberta,Canada,4
1779-09-01,9.325,4.428,Alberta,Canada,4
1779-10-01,1.262,4.663,Alberta,Canada,4
1779-11-01,-7.475,4.394,Alberta,Canada,4
1779-12-01,-16.573,5.141,Alberta,Canada,4
1780-01-01,-16.767,5.644,Alberta,Canada,4
1780-02-01,-12.613,4.604,Alberta,Canada,4
1780-03-01,-7.519,4.255,Alberta,Canada,4
1780-04-01,7.63,5.029,Alberta,Canada,4
1780-05-01,13.836,4.524,Alberta,Canada,4
1780-06-01,15.220999999999998,4.525,Alberta,Canada,4
1780-07-01,17.13,4.453,Alberta,Canada,4
1780-08-01,13.264,4.416,Alberta,Canada,4
1780-09-01,,,Alberta,Canada,4
1780-10-01,,,Alberta,Canada,4
1780-11-01,,,Alberta,Canada,4
1780-12-01,,,Alberta,Canada,4
1781-01-01,,,Alberta,Canada,4
1781-02-01,,,Alberta,Canada,4
1781-03-01,,,Alberta,Canada,4
1781-04-01,,,Alberta,Canada,4
