dt,AverageTemperature,AverageTemperatureUncertainty,State,Country,id
1841-01-01,0.5809999999999997,2.745,Anhui,China,CN.AH
1841-02-01,2.716,1.832,Anhui,China,CN.AH
1841-03-01,6.871,1.852,Anhui,China,CN.AH
1841-04-01,13.748,2.2,Anhui,China,CN.AH
1841-05-01,19.662,1.58,Anhui,China,CN.AH
1841-06-01,23.152,3.565,Anhui,China,CN.AH
1841-07-01,27.278,2.381,Anhui,China,CN.AH
1841-08-01,26.07,2.379,Anhui,China,CN.AH
1841-09-01,21.177,1.802,Anhui,China,CN.AH
1841-10-01,15.574000000000002,1.906,Anhui,China,CN.AH
1841-11-01,9.501,1.922,Anhui,China,CN.AH
1841-12-01,3.5290000000000004,1.642,Anhui,China,CN.AH
1842-01-01,1.835,2.005,Anhui,China,CN.AH
1842-02-01,3.713,1.636,Anhui,China,CN.AH
1842-03-01,9.567,2.157,Anhui,China,CN.AH
1842-04-01,15.085,1.882,Anhui,China,CN.AH
1842-05-01,19.533,1.6269999999999998,Anhui,China,CN.AH
1842-06-01,24.052,1.6780000000000002,Anhui,China,CN.AH
1842-07-01,26.111,1.865,Anhui,China,CN.AH
1842-08-01,25.994,1.939,Anhui,China,CN.AH
1842-09-01,21.618,1.671,Anhui,China,CN.AH
1842-10-01,14.992,2.299,Anhui,China,CN.AH
1842-11-01,9.230999999999998,1.753,Anhui,China,CN.AH
1842-12-01,5.291,1.785,Anhui,China,CN.AH
1843-01-01,2.569,1.744,Anhui,China,CN.AH
1843-02-01,5.209,1.867,Anhui,China,CN.AH
1843-03-01,8.155,2.443,Anhui,China,CN.AH
1843-04-01,14.844,1.582,Anhui,China,CN.AH
1843-05-01,18.882,1.633,Anhui,China,CN.AH
1843-06-01,23.829,1.741,Anhui,China,CN.AH
1843-07-01,26.75,2.327,Anhui,China,CN.AH
1843-08-01,26.417,1.828,Anhui,China,CN.AH
1843-09-01,21.806,1.554,Anhui,China,CN.AH
1843-10-01,14.957,2.846,Anhui,China,CN.AH
1843-11-01,9.477,1.5530000000000002,Anhui,China,CN.AH
1843-12-01,5.303000000000001,2.325,Anhui,China,CN.AH
1844-01-01,1.84,1.99,Anhui,China,CN.AH
1844-02-01,4.194999999999999,3.34,Anhui,China,CN.AH
1844-03-01,9.313,1.66,Anhui,China,CN.AH
1844-04-01,14.13,1.664,Anhui,China,CN.AH
