dt,AverageTemperature,AverageTemperatureUncertainty,State,Country,id
1796-01-01,26.534,1.904,Andaman & Nicobar Island,India,35
1796-02-01,26.294,1.122,Andaman & Nicobar Island,India,35
1796-03-01,26.18,1.959,Andaman & Nicobar Island,India,35
1796-04-01,27.942,1.281,Andaman & Nicobar Island,India,35
1796-05-01,28.651,1.119,Andaman & Nicobar Island,India,35
1796-06-01,28.307,2.699,Andaman & Nicobar Island,India,35
1796-07-01,27.482,1.997,Andaman & Nicobar Island,India,35
1796-08-01,28.025,2.679,Andaman & Nicobar Island,India,35
1796-09-01,27.185,3.072,Andaman & Nicobar Island,India,35
1796-10-01,26.808000000000003,1.121,Andaman & Nicobar Island,India,35
1796-11-01,26.646,2.533,Andaman & Nicobar Island,India,35
1796-12-01,24.796,3.49,Andaman & Nicobar Island,India,35
1797-01-01,,,Andaman & Nicobar Island,India,35
1797-02-01,,,Andaman & Nicobar Island,India,35
1797-03-01,26.717,1.505,Andaman & Nicobar Island,India,35
1797-04-01,27.111,2.43,Andaman & Nicobar Island,India,35
1797-05-01,27.856,1.884,Andaman & Nicobar Island,India,35
1797-06-01,28.733,1.753,Andaman & Nicobar Island,India,35
1797-07-01,27.436,1.974,Andaman & Nicobar Island,India,35
1797-08-01,27.955,1.845,Andaman & Nicobar Island,India,35
1797-09-01,27.281,2.693,Andaman & Nicobar Island,India,35
1797-10-01,26.412,1.759,Andaman & Nicobar Island,India,35
1797-11-01,25.62,1.4480000000000002,Andaman & Nicobar Island,India,35
1797-12-01,26.513,2.2840000000000003,Andaman & Nicobar Island,India,35
1798-01-01,26.754,1.474,Andaman & Nicobar Island,India,35
1798-02-01,26.55,1.454,Andaman & Nicobar Island,India,35
1798-03-01,28.337,1.279,Andaman & Nicobar Island,India,35
1798-04-01,,,Andaman & Nicobar Island,India,35
1798-05-01,,,Andaman & Nicobar Island,India,35
1798-06-01,28.191,1.715,Andaman & Nicobar Island,India,35
1798-07-01,28.559,2.007,Andaman & Nicobar Island,India,35
1798-08-01,28.413,3.753,Andaman & Nicobar Island,India,35
1798-09-01,27.134,2.33,Andaman & Nicobar Island,India,35
1798-10-01,26.555,1.903,Andaman & Nicobar Island,India,35
1798-11-01,27.18,2.139,Andaman & Nicobar Island,India,35
1798-12-01,26.073,1.669,Andaman & Nicobar Island,India,35
1799-01-01,26.119,1.719,Andaman & Nicobar Island,India,35
1799-02-01,24.997,1.977,Andaman & Nicobar Island,India,35
1799-03-01,26.937,2.003,Andaman & Nicobar Island,India,35
1799-04-01,28.779,2.74,Andaman & Nicobar Island,India,35
1799-05-01,28.812,1.166,Andaman & Nicobar Island,India,35
1799-06-01,28.789,2.156,Andaman & Nicobar Island,India,35
1799-07-01,27.907,1.702,Andaman & Nicobar Island,India,35
1799-08-01,28.007,1.039,Andaman & Nicobar Island,India,35
1799-09-01,27.357,2.0980000000000003,Andaman & Nicobar Island,India,35
1799-10-01,27.342,1.582,Andaman & Nicobar Island,India,35
1799-11-01,26.732,1.208,Andaman & Nicobar Island,India,35
1799-12-01,26.256,1.159,Andaman & Nicobar Island,India,35
1800-01-01,26.526,1.4780000000000002,Andaman & Nicobar Island,India,35
1800-02-01,26.919,3.067,Andaman & Nicobar Island,India,35
1800-03-01,26.792,2.483,Andaman & Nicobar Island,India,35
1800-04-01,29.179,1.3130000000000002,Andaman & Nicobar Island,India,35
1800-05-01,27.943,1.088,Andaman & Nicobar Island,India,35
1800-06-01,28.18,1.14,Andaman & Nicobar Island,India,35
1800-07-01,27.136,1.507,Andaman & Nicobar Island,India,35
1800-08-01,27.392,1.905,Andaman & Nicobar Island,India,35
1800-09-01,26.162,1.876,Andaman & Nicobar Island,India,35
1800-10-01,27.065,1.93,Andaman & Nicobar Island,India,35
1800-11-01,27.01,2.104,Andaman & Nicobar Island,India,35
1800-12-01,27.07,1.311,Andaman & Nicobar Island,India,35
1801-01-01,26.902,1.223,Andaman & Nicobar Island,India,35
1801-02-01,25.966,0.901,Andaman & Nicobar Island,India,35
1801-03-01,29.001,1.409,Andaman & Nicobar Island,India,35
1801-04-01,,,Andaman & Nicobar Island,India,35
1801-05-01,,,Andaman & Nicobar Island,India,35
1801-06-01,27.531,1.58,Andaman & Nicobar Island,India,35
1801-07-01,27.952,2.31,Andaman & Nicobar Island,India,35
1801-08-01,27.271,1.415,Andaman & Nicobar Island,India,35
1801-09-01,26.81,1.185,Andaman & Nicobar Island,India,35
1801-10-01,26.736,1.254,Andaman & Nicobar Island,India,35
1801-11-01,26.942,1.22,Andaman & Nicobar Island,India,35
1801-12-01,27.762,2.865,Andaman & Nicobar Island,India,35
1802-01-01,27.42,1.5490000000000002,Andaman & Nicobar Island,India,35
1802-02-01,26.81,1.297,Andaman & Nicobar Island,India,35
1802-03-01,28.721,1.567,Andaman & Nicobar Island,India,35
1802-04-01,28.494,1.595,Andaman & Nicobar Island,India,35
1802-05-01,27.774,1.6230000000000002,Andaman & Nicobar Island,India,35
1802-06-01,29.291,1.331,Andaman & Nicobar Island,India,35
1802-07-01,28.404,1.3330000000000002,Andaman & Nicobar Island,India,35
1802-08-01,27.914,1.295,Andaman & Nicobar Island,India,35
1802-09-01,27.765,1.599,Andaman & Nicobar Island,India,35
1802-10-01,27.306,2.677,Andaman & Nicobar Island,India,35
1802-11-01,26.666,1.539,Andaman & Nicobar Island,India,35
1802-12-01,26.205,1.531,Andaman & Nicobar Island,India,35
1803-01-01,24.924,1.621,Andaman & Nicobar Island,India,35
1803-02-01,25.281,2.3680000000000003,Andaman & Nicobar Island,India,35
1803-03-01,27.185,1.737,Andaman & Nicobar Island,India,35
1803-04-01,29.045,1.33,Andaman & Nicobar Island,India,35
1803-05-01,28.924,1.314,Andaman & Nicobar Island,India,35
1803-06-01,28.532,1.109,Andaman & Nicobar Island,India,35
1803-07-01,28.498,1.205,Andaman & Nicobar Island,India,35
1803-08-01,29.134,1.582,Andaman & Nicobar Island,India,35
1803-09-01,27.899,1.347,Andaman & Nicobar Island,India,35
1803-10-01,27.037,2.136,Andaman & Nicobar Island,India,35
1803-11-01,27.166,1.806,Andaman & Nicobar Island,India,35
1803-12-01,26.226,2.089,Andaman & Nicobar Island,India,35
1804-01-01,26.768,3.172,Andaman & Nicobar Island,India,35
1804-02-01,26.057,1.374,Andaman & Nicobar Island,India,35
1804-03-01,27.066,2.841,Andaman & Nicobar Island,India,35
1804-04-01,29.898000000000003,1.35,Andaman & Nicobar Island,India,35
1804-05-01,29.275,1.395,Andaman & Nicobar Island,India,35
1804-06-01,28.793000000000003,1.114,Andaman & Nicobar Island,India,35
1804-07-01,29.268,1.966,Andaman & Nicobar Island,India,35
1804-08-01,28.132,1.457,Andaman & Nicobar Island,India,35
1804-09-01,27.687,2.7910000000000004,Andaman & Nicobar Island,India,35
1804-10-01,26.866,1.496,Andaman & Nicobar Island,India,35
1804-11-01,28.048,2.895,Andaman & Nicobar Island,India,35
1804-12-01,25.904,2.9760000000000004,Andaman & Nicobar Island,India,35
1805-01-01,26.647,1.3119999999999998,Andaman & Nicobar Island,India,35
1805-02-01,26.102,1.883,Andaman & Nicobar Island,India,35
1805-03-01,27.883000000000003,1.031,Andaman & Nicobar Island,India,35
1805-04-01,27.801,1.694,Andaman & Nicobar Island,India,35
1805-05-01,28.609,0.922,Andaman & Nicobar Island,India,35
1805-06-01,28.83,1.989,Andaman & Nicobar Island,India,35
1805-07-01,27.738000000000003,1.389,Andaman & Nicobar Island,India,35
1805-08-01,28.628,1.025,Andaman & Nicobar Island,India,35
1805-09-01,27.162,1.834,Andaman & Nicobar Island,India,35
1805-10-01,25.491,1.665,Andaman & Nicobar Island,India,35
1805-11-01,26.241,2.264,Andaman & Nicobar Island,India,35
1805-12-01,27.504,1.027,Andaman & Nicobar Island,India,35
1806-01-01,26.587,1.409,Andaman & Nicobar Island,India,35
1806-02-01,26.181,2.061,Andaman & Nicobar Island,India,35
1806-03-01,26.952,1.509,Andaman & Nicobar Island,India,35
1806-04-01,28.109,2.393,Andaman & Nicobar Island,India,35
1806-05-01,28.62,1.4409999999999998,Andaman & Nicobar Island,India,35
1806-06-01,26.992,1.398,Andaman & Nicobar Island,India,35
1806-07-01,27.559,1.245,Andaman & Nicobar Island,India,35
1806-08-01,28.261,1.48,Andaman & Nicobar Island,India,35
1806-09-01,28.004,1.713,Andaman & Nicobar Island,India,35
1806-10-01,26.407,1.012,Andaman & Nicobar Island,India,35
1806-11-01,26.762,1.364,Andaman & Nicobar Island,India,35
1806-12-01,27.108,1.705,Andaman & Nicobar Island,India,35
1807-01-01,25.332,1.894,Andaman & Nicobar Island,India,35
1807-02-01,26.076,2.573,Andaman & Nicobar Island,India,35
1807-03-01,,,Andaman & Nicobar Island,India,35
1807-04-01,,,Andaman & Nicobar Island,India,35
1807-05-01,26.483,1.39,Andaman & Nicobar Island,India,35
1807-06-01,28.371,1.072,Andaman & Nicobar Island,India,35
1807-07-01,28.112,1.829,Andaman & Nicobar Island,India,35
1807-08-01,27.777,1.6469999999999998,Andaman & Nicobar Island,India,35
1807-09-01,27.713,1.274,Andaman & Nicobar Island,India,35
1807-10-01,26.359,0.966,Andaman & Nicobar Island,India,35
1807-11-01,26.813,1.7990000000000002,Andaman & Nicobar Island,India,35
1807-12-01,27.734,1.29,Andaman & Nicobar Island,India,35
1808-01-01,,,Andaman & Nicobar Island,India,35
1808-02-01,,,Andaman & Nicobar Island,India,35
1808-03-01,,,Andaman & Nicobar Island,India,35
1808-04-01,,,Andaman & Nicobar Island,India,35
1808-05-01,,,Andaman & Nicobar Island,India,35
1808-06-01,,,Andaman & Nicobar Island,India,35
1808-07-01,,,Andaman & Nicobar Island,India,35
1808-08-01,,,Andaman & Nicobar Island,India,35
1808-09-01,,,Andaman & Nicobar Island,India,35
1808-10-01,,,Andaman & Nicobar Island,India,35
1808-11-01,,,Andaman & Nicobar Island,India,35
1808-12-01,,,Andaman & Nicobar Island,India,35
1809-01-01,,,Andaman & Nicobar Island,India,35
1809-02-01,,,Andaman & Nicobar Island,India,35
1809-03-01,,,Andaman & Nicobar Island,India,35
1809-04-01,,,Andaman & Nicobar Island,India,35
1809-05-01,,,Andaman & Nicobar Island,India,35
1809-06-01,,,Andaman & Nicobar Island,India,35
1809-07-01,,,Andaman & Nicobar Island,India,35
1809-08-01,,,Andaman & Nicobar Island,India,35
1809-09-01,,,Andaman & Nicobar Island,India,35
1809-10-01,,,Andaman & Nicobar Island,India,35
1809-11-01,,,Andaman & Nicobar Island,India,35
1809-12-01,,,Andaman & Nicobar Island,India,35
1810-01-01,,,Andaman & Nicobar Island,India,35
1810-02-01,,,Andaman & Nicobar Island,India,35
1810-03-01,,,Andaman & Nicobar Island,India,35
1810-04-01,,,Andaman & Nicobar Island,India,35
1810-05-01,,,Andaman & Nicobar Island,India,35
1810-06-01,,,Andaman & Nicobar Island,India,35
1810-07-01,,,Andaman & Nicobar Island,India,35
1810-08-01,,,Andaman & Nicobar Island,India,35
1810-09-01,,,Andaman & Nicobar Island,India,35
1810-10-01,,,Andaman & Nicobar Island,India,35
1810-11-01,,,Andaman & Nicobar Island,India,35
1810-12-01,,,Andaman & Nicobar Island,India,35
1811-01-01,,,Andaman & Nicobar Island,India,35
1811-02-01,,,Andaman & Nicobar Island,India,35
1811-03-01,,,Andaman & Nicobar Island,India,35
1811-04-01,,,Andaman & Nicobar Island,India,35
1811-05-01,,,Andaman & Nicobar Island,India,35
1811-06-01,,,Andaman & Nicobar Island,India,35
1811-07-01,,,Andaman & Nicobar Island,India,35
1811-08-01,,,Andaman & Nicobar Island,India,35
1811-09-01,,,Andaman & Nicobar Island,India,35
1811-10-01,,,Andaman & Nicobar Island,India,35
1811-11-01,,,Andaman & Nicobar Island,India,35
1811-12-01,,,Andaman & Nicobar Island,India,35
1812-01-01,,,Andaman & Nicobar Island,India,35
1812-02-01,,,Andaman & Nicobar Island,India,35
1812-03-01,,,Andaman & Nicobar Island,India,35
1812-04-01,,,Andaman & Nicobar Island,India,35
1812-05-01,,,Andaman & Nicobar Island,India,35
1812-06-01,,,Andaman & Nicobar Island,India,35
1812-07-01,,,Andaman & Nicobar Island,India,35
1812-08-01,,,Andaman & Nicobar Island,India,35
1812-09-01,,,Andaman & Nicobar Island,India,35
1812-10-01,,,Andaman & Nicobar Island,India,35
1812-11-01,,,Andaman & Nicobar Island,India,35
1812-12-01,,,Andaman & Nicobar Island,India,35
1813-01-01,23.681,2.505,Andaman & Nicobar Island,India,35
1813-02-01,25.577,1.09,Andaman & Nicobar Island,India,35
1813-03-01,25.133000000000003,4.968999999999999,Andaman & Nicobar Island,India,35
1813-04-01,28.6,1.045,Andaman & Nicobar Island,India,35
1813-05-01,29.167,4.309,Andaman & Nicobar Island,India,35
1813-06-01,27.317,2.012,Andaman & Nicobar Island,India,35
1813-07-01,27.55,1.4580000000000002,Andaman & Nicobar Island,India,35
1813-08-01,26.684,0.996,Andaman & Nicobar Island,India,35
1813-09-01,27.096,1.4269999999999998,Andaman & Nicobar Island,India,35
1813-10-01,25.924,1.048,Andaman & Nicobar Island,India,35
1813-11-01,27.666,1.003,Andaman & Nicobar Island,India,35
1813-12-01,25.263,1.433,Andaman & Nicobar Island,India,35
1814-01-01,24.87,2.605,Andaman & Nicobar Island,India,35
1814-02-01,25.726,0.96,Andaman & Nicobar Island,India,35
1814-03-01,26.102,1.5619999999999998,Andaman & Nicobar Island,India,35
1814-04-01,27.202,1.111,Andaman & Nicobar Island,India,35
1814-05-01,,,Andaman & Nicobar Island,India,35
1814-06-01,27.798,1.422,Andaman & Nicobar Island,India,35
1814-07-01,25.961,2.376,Andaman & Nicobar Island,India,35
1814-08-01,26.639,1.289,Andaman & Nicobar Island,India,35
1814-09-01,25.801,1.148,Andaman & Nicobar Island,India,35
1814-10-01,25.178,2.902,Andaman & Nicobar Island,India,35
1814-11-01,27.561,4.102,Andaman & Nicobar Island,India,35
1814-12-01,28.199,4.495,Andaman & Nicobar Island,India,35
1815-01-01,25.458,1.881,Andaman & Nicobar Island,India,35
1815-02-01,26.254,4.206,Andaman & Nicobar Island,India,35
1815-03-01,26.106,2.799,Andaman & Nicobar Island,India,35
1815-04-01,27.853,2.393,Andaman & Nicobar Island,India,35
1815-05-01,27.693,2.754,Andaman & Nicobar Island,India,35
1815-06-01,25.469,1.465,Andaman & Nicobar Island,India,35
1815-07-01,27.104,2.178,Andaman & Nicobar Island,India,35
1815-08-01,26.925,1.452,Andaman & Nicobar Island,India,35
1815-09-01,26.359,1.122,Andaman & Nicobar Island,India,35
1815-10-01,24.763,2.444,Andaman & Nicobar Island,India,35
1815-11-01,25.3,1.8,Andaman & Nicobar Island,India,35
1815-12-01,24.756,1.699,Andaman & Nicobar Island,India,35
1816-01-01,25.983,3.613,Andaman & Nicobar Island,India,35
1816-02-01,23.318,1.723,Andaman & Nicobar Island,India,35
1816-03-01,26.249,1.372,Andaman & Nicobar Island,India,35
1816-04-01,27.076,3.235,Andaman & Nicobar Island,India,35
1816-05-01,28.082,1.819,Andaman & Nicobar Island,India,35
1816-06-01,26.916,1.91,Andaman & Nicobar Island,India,35
1816-07-01,25.603,1.404,Andaman & Nicobar Island,India,35
1816-08-01,26.218000000000004,0.88,Andaman & Nicobar Island,India,35
1816-09-01,25.244,0.88,Andaman & Nicobar Island,India,35
1816-10-01,23.903,4.8180000000000005,Andaman & Nicobar Island,India,35
1816-11-01,25.344,5.609,Andaman & Nicobar Island,India,35
1816-12-01,25.216,1.409,Andaman & Nicobar Island,India,35
1817-01-01,25.363000000000003,3.846,Andaman & Nicobar Island,India,35
1817-02-01,26.22,2.104,Andaman & Nicobar Island,India,35
1817-03-01,26.656,1.495,Andaman & Nicobar Island,India,35
1817-04-01,27.806,1.555,Andaman & Nicobar Island,India,35
1817-05-01,26.844,1.806,Andaman & Nicobar Island,India,35
1817-06-01,25.992,1.404,Andaman & Nicobar Island,India,35
1817-07-01,26.095,1.4680000000000002,Andaman & Nicobar Island,India,35
1817-08-01,27.094,1.454,Andaman & Nicobar Island,India,35
1817-09-01,24.378,2.233,Andaman & Nicobar Island,India,35
1817-10-01,24.474,2.252,Andaman & Nicobar Island,India,35
1817-11-01,25.78,1.938,Andaman & Nicobar Island,India,35
1817-12-01,24.695,2.411,Andaman & Nicobar Island,India,35
1818-01-01,25.505,2.84,Andaman & Nicobar Island,India,35
1818-02-01,24.954,1.556,Andaman & Nicobar Island,India,35
1818-03-01,27.289,1.336,Andaman & Nicobar Island,India,35
1818-04-01,28.824,4.521,Andaman & Nicobar Island,India,35
1818-05-01,28.6,2.682,Andaman & Nicobar Island,India,35
1818-06-01,27.998,3.423,Andaman & Nicobar Island,India,35
1818-07-01,26.08,2.611,Andaman & Nicobar Island,India,35
1818-08-01,26.273000000000003,1.354,Andaman & Nicobar Island,India,35
1818-09-01,25.387,1.415,Andaman & Nicobar Island,India,35
1818-10-01,24.681,1.829,Andaman & Nicobar Island,India,35
1818-11-01,25.924,4.062,Andaman & Nicobar Island,India,35
1818-12-01,25.661,1.3119999999999998,Andaman & Nicobar Island,India,35
1819-01-01,24.05,1.936,Andaman & Nicobar Island,India,35
1819-02-01,24.856,2.582,Andaman & Nicobar Island,India,35
1819-03-01,25.702,5.377999999999999,Andaman & Nicobar Island,India,35
1819-04-01,26.747,1.19,Andaman & Nicobar Island,India,35
1819-05-01,27.208,1.109,Andaman & Nicobar Island,India,35
1819-06-01,27.135,1.345,Andaman & Nicobar Island,India,35
1819-07-01,26.461,0.981,Andaman & Nicobar Island,India,35
1819-08-01,26.437,1.26,Andaman & Nicobar Island,India,35
1819-09-01,25.926,0.877,Andaman & Nicobar Island,India,35
1819-10-01,26.167,1.388,Andaman & Nicobar Island,India,35
1819-11-01,26.382,1.335,Andaman & Nicobar Island,India,35
1819-12-01,25.375,1.154,Andaman & Nicobar Island,India,35
1820-01-01,24.308000000000003,4.1160000000000005,Andaman & Nicobar Island,India,35
1820-02-01,24.786,1.531,Andaman & Nicobar Island,India,35
1820-03-01,26.568,1.599,Andaman & Nicobar Island,India,35
1820-04-01,28.474,1.02,Andaman & Nicobar Island,India,35
1820-05-01,27.875,1.199,Andaman & Nicobar Island,India,35
1820-06-01,27.275,0.992,Andaman & Nicobar Island,India,35
1820-07-01,26.569000000000003,2.33,Andaman & Nicobar Island,India,35
1820-08-01,26.034,1.98,Andaman & Nicobar Island,India,35
1820-09-01,26.154,1.527,Andaman & Nicobar Island,India,35
1820-10-01,25.443,1.064,Andaman & Nicobar Island,India,35
1820-11-01,25.856,1.053,Andaman & Nicobar Island,India,35
1820-12-01,25.298,1.664,Andaman & Nicobar Island,India,35
1821-01-01,26.791,2.533,Andaman & Nicobar Island,India,35
1821-02-01,27.039,3.292,Andaman & Nicobar Island,India,35
1821-03-01,27.705,1.436,Andaman & Nicobar Island,India,35
1821-04-01,27.34,1.04,Andaman & Nicobar Island,India,35
1821-05-01,28.267,1.418,Andaman & Nicobar Island,India,35
1821-06-01,27.383000000000003,2.219,Andaman & Nicobar Island,India,35
1821-07-01,26.669,1.5730000000000002,Andaman & Nicobar Island,India,35
1821-08-01,26.963,1.357,Andaman & Nicobar Island,India,35
1821-09-01,25.353,1.143,Andaman & Nicobar Island,India,35
1821-10-01,25.845,0.85,Andaman & Nicobar Island,India,35
1821-11-01,26.873,2.077,Andaman & Nicobar Island,India,35
1821-12-01,26.381,1.266,Andaman & Nicobar Island,India,35
1822-01-01,26.917,2.546,Andaman & Nicobar Island,India,35
1822-02-01,27.799,1.886,Andaman & Nicobar Island,India,35
1822-03-01,29.551,1.34,Andaman & Nicobar Island,India,35
1822-04-01,27.908,1.052,Andaman & Nicobar Island,India,35
1822-05-01,28.048,1.106,Andaman & Nicobar Island,India,35
1822-06-01,27.401,1.181,Andaman & Nicobar Island,India,35
1822-07-01,27.326,0.954,Andaman & Nicobar Island,India,35
1822-08-01,26.556,1.973,Andaman & Nicobar Island,India,35
1822-09-01,25.734,1.506,Andaman & Nicobar Island,India,35
1822-10-01,25.255,0.949,Andaman & Nicobar Island,India,35
1822-11-01,25.724,1.39,Andaman & Nicobar Island,India,35
1822-12-01,25.256,1.934,Andaman & Nicobar Island,India,35
1823-01-01,26.214,1.384,Andaman & Nicobar Island,India,35
1823-02-01,26.224,2.221,Andaman & Nicobar Island,India,35
1823-03-01,27.376,1.306,Andaman & Nicobar Island,India,35
1823-04-01,28.281,2.071,Andaman & Nicobar Island,India,35
1823-05-01,27.967,1.209,Andaman & Nicobar Island,India,35
1823-06-01,28.27,1.836,Andaman & Nicobar Island,India,35
1823-07-01,27.37,1.105,Andaman & Nicobar Island,India,35
1823-08-01,26.566,1.231,Andaman & Nicobar Island,India,35
1823-09-01,25.121,1.125,Andaman & Nicobar Island,India,35
1823-10-01,25.693,1.361,Andaman & Nicobar Island,India,35
1823-11-01,25.743,2.678,Andaman & Nicobar Island,India,35
1823-12-01,26.418000000000003,1.38,Andaman & Nicobar Island,India,35
1824-01-01,26.725,1.047,Andaman & Nicobar Island,India,35
1824-02-01,26.351,2.092,Andaman & Nicobar Island,India,35
1824-03-01,27.632,1.255,Andaman & Nicobar Island,India,35
1824-04-01,28.204,1.794,Andaman & Nicobar Island,India,35
1824-05-01,28.156,1.288,Andaman & Nicobar Island,India,35
1824-06-01,28.185,2.303,Andaman & Nicobar Island,India,35
1824-07-01,28.555,2.748,Andaman & Nicobar Island,India,35
1824-08-01,27.253,1.461,Andaman & Nicobar Island,India,35
1824-09-01,26.936,1.4280000000000002,Andaman & Nicobar Island,India,35
1824-10-01,25.535,1.27,Andaman & Nicobar Island,India,35
1824-11-01,26.985,1.401,Andaman & Nicobar Island,India,35
1824-12-01,28.242,2.285,Andaman & Nicobar Island,India,35
1825-01-01,26.48,2.116,Andaman & Nicobar Island,India,35
1825-02-01,26.436,1.122,Andaman & Nicobar Island,India,35
1825-03-01,27.418000000000003,1.89,Andaman & Nicobar Island,India,35
1825-04-01,28.511,2.122,Andaman & Nicobar Island,India,35
1825-05-01,28.307,1.06,Andaman & Nicobar Island,India,35
1825-06-01,28.141,0.835,Andaman & Nicobar Island,India,35
1825-07-01,27.775,2.1630000000000003,Andaman & Nicobar Island,India,35
1825-08-01,26.81,2.001,Andaman & Nicobar Island,India,35
1825-09-01,26.294,1.529,Andaman & Nicobar Island,India,35
1825-10-01,26.107,1.679,Andaman & Nicobar Island,India,35
1825-11-01,27.316,1.5319999999999998,Andaman & Nicobar Island,India,35
1825-12-01,26.344,1.097,Andaman & Nicobar Island,India,35
1826-01-01,26.413,1.061,Andaman & Nicobar Island,India,35
1826-02-01,25.324,1.617,Andaman & Nicobar Island,India,35
1826-03-01,27.612,1.273,Andaman & Nicobar Island,India,35
1826-04-01,28.476,2.161,Andaman & Nicobar Island,India,35
1826-05-01,29.062,1.194,Andaman & Nicobar Island,India,35
1826-06-01,27.323,1.948,Andaman & Nicobar Island,India,35
1826-07-01,27.766,1.096,Andaman & Nicobar Island,India,35
1826-08-01,26.537,1.15,Andaman & Nicobar Island,India,35
1826-09-01,26.17,1.717,Andaman & Nicobar Island,India,35
1826-10-01,26.268,1.842,Andaman & Nicobar Island,India,35
